"id","model_id","size","manual_price","pneumatic_price","electric_price","gear_price","gate_304_diff","gate_316_diff","rod_304_diff","rod_316_diff","branding_fee","min_order_qty","status","remark","created_at","_openid"
"1621","177","800","0.00","12350.00","0.00","0.00","0.00","0.00","0.00","0.00","650.00","2","enabled","","2026-06-09 22:59:42","import"
"1622","177","900","0.00","15150.00","0.00","0.00","0.00","0.00","0.00","0.00","900.00","2","enabled","","2026-06-09 22:59:42","import"
"1623","177","1000","0.00","17950.00","0.00","0.00","0.00","0.00","0.00","0.00","1000.00","2","enabled","","2026-06-09 22:59:42","import"
"1624","178","65","870.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:43","import"
"1625","178","80","780.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:43","import"
"1626","178","100","880.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:43","import"
"1627","178","125","980.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:44","import"
"1628","178","150","1160.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:44","import"
"1629","178","200","1450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:44","import"
"1630","178","250","1850.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 22:59:45","import"
"1631","178","300","2350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 22:59:45","import"
"1632","178","350","2850.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 22:59:45","import"
"1633","178","400","3450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 22:59:46","import"
"1634","178","450","4050.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","6","enabled","","2026-06-09 22:59:46","import"
"1635","178","500","5250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","150.00","6","enabled","","2026-06-09 22:59:46","import"
"1636","178","600","7250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","250.00","6","enabled","","2026-06-09 22:59:47","import"
"1637","178","700","10250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","450.00","2","enabled","","2026-06-09 22:59:47","import"
"1638","178","800","13250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","650.00","2","enabled","","2026-06-09 22:59:47","import"
"1639","178","900","16250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","900.00","2","enabled","","2026-06-09 22:59:48","import"
"1640","178","1000","19250.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1000.00","2","enabled","","2026-06-09 22:59:48","import"
"1641","179","125","1200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:48","import"
"1642","179","150","1560.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:49","import"
"1643","179","200","2400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:49","import"
"1644","179","250","3600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 22:59:49","import"
"1645","179","300","4400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 22:59:50","import"
"1646","179","350","5760.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 22:59:50","import"
"1647","179","400","7500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 22:59:50","import"
"1648","180","125","1860.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:51","import"
"1649","180","150","2600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:51","import"
"1650","180","200","4200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:52","import"
"1651","180","250","6600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 22:59:52","import"
"1652","180","300","8800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 22:59:52","import"
"1653","180","350","11300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 22:59:52","import"
"1654","180","400","15300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 22:59:53","import"
"1655","181","125","2400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:53","import"
"1656","181","150","3240.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:54","import"
"1657","181","200","5350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:54","import"
"1658","181","250","9050.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 22:59:54","import"
"1659","181","300","11500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 22:59:55","import"
"1660","181","350","16200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 22:59:55","import"
"1661","181","400","21300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 22:59:55","import"
"1662","173","50","190.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:32","import"
"1663","174","50","310.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:33","import"
"1664","175","50","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:34","import"
"1665","176","50","0.00","0.00","0.00","830.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:34","import"
"1666","177","50","0.00","720.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:36","import"
"1667","178","50","750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:37","import"
"1668","179","100","900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:39","import"
"1669","180","100","1680.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:40","import"
"1670","181","100","2050.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 23:02:40","import"
